,Unnamed: 0,id,referringVisitId,transition,visitId,visitTime,title,lastVisitTime,typedCount,url,visitCount,visitTimeDate,lastVisitTimeDate,thumbnail,description,2d_x,2d_y,3d_x,3d_y,3d_z
38,5858,86587,0,auto_toplevel,317135,1665170149557.942,Prisma Studio,1665170338918.37,8,http://localhost:5555/,36,2022-10-07 19:15:49.557942016,2022-10-07 19:18:58.918370048,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Prisma Studio,13.819828,2.1038113,3.7112033,9.349914,-2.4950793
39,4156,7545,318927,link,318933,1665413770864.348,👒 room swag 💒 — Are.na,1665413770864.348,2,https://www.are.na/trudy-painter/room-swag,36,2022-10-10 14:56:10.864347904,2022-10-10 14:56:10.864347904,https://images.are.na/eyJidWNrZXQiOiJhcmVuYV9pbWFnZXMiLCJrZXkiOiIxODIxMDU5Ny9vcmlnaW5hbF8wODMyN2M3ZWY1YzhkODA4ODUyNThlOTI4MjA1Yzg0OS5qcGciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjEyMDAsImhlaWdodCI6MTIwMCwiZml0IjoiaW5zaWRlIiwid2l0aG91dEVubGFyZ2VtZW50Ijp0cnVlfSwid2VicCI6eyJxdWFsaXR5Ijo5MH0sImpwZWciOnsicXVhbGl0eSI6OTB9LCJyb3RhdGUiOm51bGx9fQ==?bc=0,👒 room swag 💒 — Are.na,43.883614,11.072184,30.225445,1.9510669,-0.22427942
40,4578,385,318486,form_submit,318488,1665251233439.936,,1665658551213.254,0,https://idp.mit.edu/idp/profile/SAML2/Redirect/SSO?execution=e1s1&_eventId_proceed=1,35,2022-10-08 17:47:13.439936000,2022-10-13 10:55:51.213253888,,,31.546898,3.4264767,19.685633,5.110173,4.6513863
41,648,105564,322697,link,322698,1665749486741.545,Project Updates,1665749486741.545,0,https://cms405.github.io/updates/,32,2022-10-14 12:11:26.741544960,2022-10-14 12:11:26.741544960,/assets/Screen Shot 2022-10-14 at 8.48.57 AM.png,Project Updates,27.43276,-4.492741,15.155647,0.10178258,14.564817
42,2487,97948,0,link,320700,1665528605264.43,Messenger,1665528605264.43,0,https://www.messenger.com/t/5119810178074179,32,2022-10-11 22:50:05.264429824,2022-10-11 22:50:05.264429824,,Messenger,27.17643,8.97845,15.706216,10.050862,8.048162
43,5751,107157,0,link,317247,1665174172758.421,(4) 6.UAR,1665174172758.421,0,https://www.notion.so/trudypainter/6-UAR-f43b997676194a2296da320d0f2b55d3,31,2022-10-07 20:22:52.758420992,2022-10-07 20:22:52.758420992,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,(4) 6.UAR,24.178679,4.8144655,19.963211,-6.79082,1.303912
44,838,104596,0,link,322491,1665700961001.042,cms405.github.io · Prose,1665751748804.93,0,https://prose.io/#cms405/cms405.github.io,30,2022-10-13 22:42:41.001041920,2022-10-14 12:49:08.804930048,,cms405.github.io · Prose,0.017059848,4.219071,7.8248215,-13.720239,-14.411759
45,833,94918,0,typed,322496,1665744791792.691,trudy – Special Fish,1665744791792.691,3,https://special.fish/trudy,30,2022-10-14 10:53:11.792690944,2022-10-14 10:53:11.792690944,https://special.fish/images/social-fish-light.jpg,trudy – Special Fish,16.908371,22.410616,18.564894,8.288332,-14.244562
46,630,85035,0,link,322716,1665749814184.4138,🧠 future archives 📚 — Are.na,1665749814184.4138,3,https://www.are.na/trudy-painter/future-archives-8xltbdet6ck,29,2022-10-14 12:16:54.184413696,2022-10-14 12:16:54.184413696,https://images.are.na/eyJidWNrZXQiOiJhcmVuYV9pbWFnZXMiLCJrZXkiOiIxNzU4ODA5Ny9vcmlnaW5hbF9kZDc2ZmFkMjgyMTg1MTdlOTgxNTk5Yzg2NGU0YWQ3Ni5qcGciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjEyMDAsImhlaWdodCI6MTIwMCwiZml0IjoiaW5zaWRlIiwid2l0aG91dEVubGFyZ2VtZW50Ijp0cnVlfSwid2VicCI6eyJxdWFsaXR5Ijo5MH0sImpwZWciOnsicXVhbGl0eSI6OTB9LCJyb3RhdGUiOm51bGx9fQ==?bc=0,🧠 future archives 📚 — Are.na,43.073402,12.883706,35.10387,-0.46692115,-1.2689296
47,646,105426,322699,link,322700,1665749497400.145,Commentary,1665749569806.734,0,https://cms405.github.io/commentary/,29,2022-10-14 12:11:37.400144896,2022-10-14 12:12:49.806734080,/assets/Screen%20Shot%202022-10-03%20at%207.26.56%20PM.png,Commentary,30.383764,-0.0758417,16.93136,4.164263,8.260284
48,1525,598,0,link,321764,1665666043249.372,👒 i COULD purchase it🤑 — Are.na,1665666043249.372,10,https://www.are.na/trudy-painter/i-could-purchase-it,29,2022-10-13 13:00:43.249372160,2022-10-13 13:00:43.249372160,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,👒 i COULD purchase it🤑 — Are.na,44.972126,10.780096,30.592157,-1.4296904,-1.7308729
49,5878,87614,317105,link,317111,1665169778457.216,in-tune branches - PlanetScale,1665169778457.216,0,https://app.planetscale.com/in-tune/in-tune/branches,29,2022-10-07 19:09:38.457216000,2022-10-07 19:09:38.457216000,,in-tune branches - PlanetScale,39.33898,-17.763983,18.214012,-10.50411,28.305813
50,6211,96037,0,typed,316765,1665160754676.708,500 Internal Server Error,1665449046910.1328,28,http://www.trudy.tube/api/collect,28,2022-10-07 16:39:14.676708096,2022-10-11 00:44:06.910132736,,500 Internal Server Error,28.625671,-18.685968,19.84395,11.199779,20.485567
51,2438,104677,320764,link,320765,1665583801890.645,7.012 Introductory Biology - Fall 2022,1665583801890.645,0,https://canvas.mit.edu/courses/16698,28,2022-10-12 14:10:01.890644992,2022-10-12 14:10:01.890644992,,7.012 Introductory Biology - Fall 2022,-7.6872764,13.129895,2.6382728,-1.09355,-25.095284
52,2456,104541,320739,link,320740,1665583410194.722,trudypainter · Prose,1665751746323.639,0,https://prose.io/#trudypainter,26,2022-10-12 14:03:30.194722048,2022-10-14 12:49:06.323639040,,trudypainter · Prose,13.94735,22.433645,15.850617,7.646477,-9.929737
53,1760,1232,0,link,321511,1665616016751.901,(99+) LinkedIn,1665616016751.901,0,https://www.linkedin.com/mynetwork/,25,2022-10-12 23:06:56.751900928,2022-10-12 23:06:56.751900928,https://static-exp1.licdn.com/scds/common/u/images/logos/favicons/v1/favicon.ico,(99+) LinkedIn,25.607397,35.686333,23.022337,26.814476,-0.005274973
